id_siswa,nama_lengkap,kelas,gender
2016001,Perkasa Namaga,10,P
2014002,Vanya Safitri,12,L
2016003,Diah Siregar,10,L
2015004,Hana Mulyani,11,L
2015005,R. Zalindra Rajasa,11,P
2014006,Jessica Nainggolan,12,L
2015007,Tgk. Nurul Melani,11,P
2016008,R.M. Cahya Rahimah,10,P
2014009,Ganjaran Hartati,12,L
2016010,Suci Adriansyah,10,P
2016011,Kayla Megantara,10,L
2014012,Aurora Nurdiyanti,12,L
2015013,Sakura Yuliarti,11,L
2016014,Galang Wibisono,10,L
2016015,Tgk. Ganda Yulianti,10,P
2014016,Dr. Kartika Napitupulu,12,L
2014017,Bambang Purnawati,12,P
2016018,Ophelia Firgantoro,10,L
2015019,Ganda Wastuti,11,L
2015020,Dt. Edison Halim,11,L
2016021,Digdaya Pangestu,10,P
2016022,Dina Simanjuntak,10,P
2016023,Hasta Sirait,10,P
2014024,Wira Nugroho,12,L
2016025,Bakiadi Pertiwi,10,P
2015026,Daliono Sitorus,11,P
2015027,Kania Nababan,11,L
2015028,Ajiman Mandala,11,L
2016029,Hardana Mansur,10,P
2014030,Tira Prakasa,12,L
2016031,Laras Wahyuni,10,L
2014032,R. Irwan Putra,12,P
2016033,Tirta Budiman,10,L
2016034,Rahman Nurdiyanti,10,P
2015035,Zalindra Sinaga,11,P
2016036,Puti Julia Rajata,10,P
2014037,Harjo Susanti,12,L
2015038,Drs. Muhammad Winarsih,11,L
2014039,Mitra Situmorang,12,P
2015040,drg. Banawa Permadi,11,L
2014041,Cindy Dongoran,12,L
2015042,Ajeng Maheswara,11,P
2015043,Kusuma Megantara,11,L
2016044,Devi Pratama,10,L
2014045,Ajimin Tampubolon,12,P
2014046,Prabu Winarno,12,L
2014047,Gading Palastri,12,P
2016048,Nadine Prasetya,10,P
2016049,Tasnim Najmudin,10,P
2014050,Zamira Uyainah,12,L
2014051,Maman Santoso,12,L
2014052,Ellis Palastri,12,P
2015053,Maryanto Hardiansyah,11,L
2014054,Oni Saefullah,12,L
2016055,Tantri Susanti,10,P
2014056,Drs. Dian Dabukke,12,L
2016057,Hj. Agnes Sitorus,10,L
2014058,Unjani Rahmawati,12,P
2014059,Hamima Puspita,12,P
2016060,Cahyadi Puspita,10,L
2016061,Nabila Purnawati,10,L
2016062,Anastasia Hakim,10,P
2015063,Aris Yolanda,11,L
2015064,R. Hafshah Nugroho,11,P
2014065,Anita Siregar,12,P
2016066,Gandewa Wacana,10,P
2016067,Gangsar Permadi,10,P
2015068,Paramita Lailasari,11,L
2016069,Reksa Firmansyah,10,P
2016070,Lalita Pratama,10,L
2016071,Janet Salahudin,10,P
2016072,Fathonah Sihombing,10,L
2016073,R. Gantar Mulyani,10,L
2014074,Sutan Hairyanto Pertiwi,12,P
2015075,Viktor Prasetya,11,L
2014076,Ayu Sitompul,12,L
2014077,Puti Wasita,12,P
2016078,Saadat Mahendra,10,P
2014079,Titi Yuniar,12,P
2014080,R.M. Galar Hutagalung,12,P
2016081,Kania Kurniawan,10,P
2014082,Adikara Wibisono,12,P
2016083,drg. Tami Nugroho,10,P
2016084,Diana Putra,10,L
2016085,Wawan Kuswoyo,10,L
2016086,Unggul Mansur,10,L
2014087,drg. Putri Situmorang,12,L
2016088,Aurora Damanik,10,P
2016089,Lidya Widodo,10,P
2015090,Abyasa Safitri,11,P
